#TYPE System.Management.Automation.PSCustomObject
"timestamp","itemCount","cloud_RoleInstance","customMeasurements","sdkVersion","application_Version","operation_Id","location","user_AccountId","size","client_Model","performanceBucket","customDimensions","success","duration","client_Browser","client_Type","client_StateOrProvince","iKey","appName","client_City","appId","id","itemType","user_Id","user_AuthenticatedId","operation_Name","itemId","cloud_RoleName","client_OS","session_Id","client_CountryOrRegion","operation_ParentId","name","client_IP","message","operation_SyntheticSource"
"2020-07-23T08:17:01.676345Z","1","",,"","","174e527f5bdc4ce6996a540e5605af56","West US","",,"","","{""FullTestResultAvailable"":""false"",""WebtestArmResourceName"":""website-api-test"",""SyntheticMonitorId"":""default_website-api-test_us-ca-sjc-azr"",""WebtestLocationId"":""us-ca-sjc-azr"",""SourceId"":""sid://75c23ac3-28d1-4237-aca1-72841c44b082.visualstudio.com/applications/iotblockchain-kqmzpa/features/website-api-test/locations/us-ca-sjc-azr""}","1","128","","PC","Washington","a1cfbe77-5dbc-47b7-b8e3-e0e1ed1b11c7","iotblockchain-kqmzpa","","75c23ac3-28d1-4237-aca1-72841c44b082","174e527f5bdc4ce6996a540e5605af56","availabilityResult","","","","ed5b9002-ccbc-11ea-9743-6f9fcb434c5c","","","","United States","174e527f5bdc4ce6996a540e5605af56","website-api-test","0.0.0.0","Passed",""
"2020-07-23T08:18:08.094771Z","1","",,"","","5160f9bcc8ac4935b033db722c16c7ec","South Central US","",,"","","{""FullTestResultAvailable"":""false"",""WebtestArmResourceName"":""website-api-test"",""SyntheticMonitorId"":""default_website-api-test_us-tx-sn1-azr"",""WebtestLocationId"":""us-tx-sn1-azr"",""SourceId"":""sid://75c23ac3-28d1-4237-aca1-72841c44b082.visualstudio.com/applications/iotblockchain-kqmzpa/features/website-api-test/locations/us-tx-sn1-azr""}","1","244","","PC","Texas","a1cfbe77-5dbc-47b7-b8e3-e0e1ed1b11c7","iotblockchain-kqmzpa","San Antonio","75c23ac3-28d1-4237-aca1-72841c44b082","5160f9bcc8ac4935b033db722c16c7ec","availabilityResult","","","","102d9765-ccbd-11ea-a85b-7378365499a5","","","","United States","5160f9bcc8ac4935b033db722c16c7ec","website-api-test","0.0.0.0","Passed",""
"2020-07-23T08:19:11.6306757Z","1","",,"","","fdd5da8b99e447bdac1652a34d386a3a","East US","",,"","","{""FullTestResultAvailable"":""false"",""WebtestArmResourceName"":""website-api-test"",""SyntheticMonitorId"":""default_website-api-test_us-va-ash-azr"",""WebtestLocationId"":""us-va-ash-azr"",""SourceId"":""sid://75c23ac3-28d1-4237-aca1-72841c44b082.visualstudio.com/applications/iotblockchain-kqmzpa/features/website-api-test/locations/us-va-ash-azr""}","1","358","","PC","Virginia","a1cfbe77-5dbc-47b7-b8e3-e0e1ed1b11c7","iotblockchain-kqmzpa","Washington","75c23ac3-28d1-4237-aca1-72841c44b082","fdd5da8b99e447bdac1652a34d386a3a","availabilityResult","","","","3df6a144-ccbd-11ea-9999-79f7510baf35","","","","United States","fdd5da8b99e447bdac1652a34d386a3a","website-api-test","0.0.0.0","Passed",""
"2020-07-23T08:20:18.2857741Z","1","",,"","","c9f7fad59475494b87605e99abf0764f","East US","",,"","","{""FullTestResultAvailable"":""false"",""WebtestArmResourceName"":""website-ui-test"",""SyntheticMonitorId"":""default_website-ui-test_us-va-ash-azr"",""WebtestLocationId"":""us-va-ash-azr"",""SourceId"":""sid://75c23ac3-28d1-4237-aca1-72841c44b082.visualstudio.com/applications/iotblockchain-kqmzpa/features/website-ui-test/locations/us-va-ash-azr""}","1","988","","PC","Virginia","a1cfbe77-5dbc-47b7-b8e3-e0e1ed1b11c7","iotblockchain-kqmzpa","Washington","75c23ac3-28d1-4237-aca1-72841c44b082","c9f7fad59475494b87605e99abf0764f","availabilityResult","","","","66861592-ccbd-11ea-99e8-8be3884c9b5a","","","","United States","c9f7fad59475494b87605e99abf0764f","website-ui-test","0.0.0.0","Passed",""
"2020-07-23T08:20:23.8756873Z","1","",,"","","252864c36ff24956903649c2e7672212","West US","",,"","","{""FullTestResultAvailable"":""false"",""WebtestArmResourceName"":""website-ui-test"",""SyntheticMonitorId"":""default_website-ui-test_us-ca-sjc-azr"",""WebtestLocationId"":""us-ca-sjc-azr"",""SourceId"":""sid://75c23ac3-28d1-4237-aca1-72841c44b082.visualstudio.com/applications/iotblockchain-kqmzpa/features/website-ui-test/locations/us-ca-sjc-azr""}","1","82","","PC","Washington","a1cfbe77-5dbc-47b7-b8e3-e0e1ed1b11c7","iotblockchain-kqmzpa","","75c23ac3-28d1-4237-aca1-72841c44b082","252864c36ff24956903649c2e7672212","availabilityResult","","","","62befb6c-ccbd-11ea-abeb-a309705a9a7c","","","","United States","252864c36ff24956903649c2e7672212","website-ui-test","0.0.0.0","Passed",""
"2020-07-23T08:20:28.0131939Z","1","",,"","","b11d8641ff75462089af56f873beab65","South Central US","",,"","","{""FullTestResultAvailable"":""false"",""WebtestArmResourceName"":""website-ui-test"",""SyntheticMonitorId"":""default_website-ui-test_us-tx-sn1-azr"",""WebtestLocationId"":""us-tx-sn1-azr"",""SourceId"":""sid://75c23ac3-28d1-4237-aca1-72841c44b082.visualstudio.com/applications/iotblockchain-kqmzpa/features/website-ui-test/locations/us-tx-sn1-azr""}","1","791","","PC","Texas","a1cfbe77-5dbc-47b7-b8e3-e0e1ed1b11c7","iotblockchain-kqmzpa","San Antonio","75c23ac3-28d1-4237-aca1-72841c44b082","b11d8641ff75462089af56f873beab65","availabilityResult","","","","6601ca35-ccbd-11ea-854a-13529a4691b1","","","","United States","b11d8641ff75462089af56f873beab65","website-ui-test","0.0.0.0","Passed",""
"2020-07-23T08:20:44.7380543Z","1","",,"","","9652ca246d084f15b526b14a61e8582a","North Central US","",,"","","{""FullTestResultAvailable"":""false"",""WebtestArmResourceName"":""website-api-test"",""SyntheticMonitorId"":""default_website-api-test_us-il-ch1-azr"",""WebtestLocationId"":""us-il-ch1-azr"",""SourceId"":""sid://75c23ac3-28d1-4237-aca1-72841c44b082.visualstudio.com/applications/iotblockchain-kqmzpa/features/website-api-test/locations/us-il-ch1-azr""}","1","229","","PC","Illinois","a1cfbe77-5dbc-47b7-b8e3-e0e1ed1b11c7","iotblockchain-kqmzpa","Chicago","75c23ac3-28d1-4237-aca1-72841c44b082","9652ca246d084f15b526b14a61e8582a","availabilityResult","","","","71092008-ccbd-11ea-8b70-9ffbc1ba62b4","","","","United States","9652ca246d084f15b526b14a61e8582a","website-api-test","0.0.0.0","Passed",""
"2020-07-23T08:20:47.8602569Z","1","",,"","","0cc0cb23bcf04ff3b37a03ff99171810","North Central US","",,"","","{""FullTestResultAvailable"":""false"",""WebtestArmResourceName"":""website-ui-test"",""SyntheticMonitorId"":""default_website-ui-test_us-il-ch1-azr"",""WebtestLocationId"":""us-il-ch1-azr"",""SourceId"":""sid://75c23ac3-28d1-4237-aca1-72841c44b082.visualstudio.com/applications/iotblockchain-kqmzpa/features/website-ui-test/locations/us-il-ch1-azr""}","1","775","","PC","Illinois","a1cfbe77-5dbc-47b7-b8e3-e0e1ed1b11c7","iotblockchain-kqmzpa","Chicago","75c23ac3-28d1-4237-aca1-72841c44b082","0cc0cb23bcf04ff3b37a03ff99171810","availabilityResult","","","","779f112e-ccbd-11ea-892d-e9174f50ada6","","","","United States","0cc0cb23bcf04ff3b37a03ff99171810","website-ui-test","0.0.0.0","Passed",""
"2020-07-23T08:21:23.784071Z","1","",,"","","e82ef0ab438244d285afd00bf200e269","Central US","",,"","","{""FullTestResultAvailable"":""false"",""WebtestArmResourceName"":""website-api-test"",""SyntheticMonitorId"":""default_website-api-test_us-fl-mia-edge"",""WebtestLocationId"":""us-fl-mia-edge"",""SourceId"":""sid://75c23ac3-28d1-4237-aca1-72841c44b082.visualstudio.com/applications/iotblockchain-kqmzpa/features/website-api-test/locations/us-fl-mia-edge""}","1","226","","PC","Iowa","a1cfbe77-5dbc-47b7-b8e3-e0e1ed1b11c7","iotblockchain-kqmzpa","Des Moines","75c23ac3-28d1-4237-aca1-72841c44b082","e82ef0ab438244d285afd00bf200e269","availabilityResult","","","","90d9a7d1-ccbd-11ea-b0c3-7764b0a3b276","","","","United States","e82ef0ab438244d285afd00bf200e269","website-api-test","0.0.0.0","Passed",""
"2020-07-23T08:21:36.8217555Z","1","",,"","","1b49739fa0144aeea997290953779d9b","Central US","",,"","","{""FullTestResultAvailable"":""false"",""WebtestArmResourceName"":""website-ui-test"",""SyntheticMonitorId"":""default_website-ui-test_us-fl-mia-edge"",""WebtestLocationId"":""us-fl-mia-edge"",""SourceId"":""sid://75c23ac3-28d1-4237-aca1-72841c44b082.visualstudio.com/applications/iotblockchain-kqmzpa/features/website-ui-test/locations/us-fl-mia-edge""}","1","720","","PC","Iowa","a1cfbe77-5dbc-47b7-b8e3-e0e1ed1b11c7","iotblockchain-kqmzpa","Des Moines","75c23ac3-28d1-4237-aca1-72841c44b082","1b49739fa0144aeea997290953779d9b","availabilityResult","","","","970390f0-ccbd-11ea-a5be-532a2991fcd0","","","","United States","1b49739fa0144aeea997290953779d9b","website-ui-test","0.0.0.0","Passed",""
